,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-aura,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-direct2.5,Python
75,ml-dms-dataset,Python
76,ml-dprecs,Jupyter Notebook
77,ml-dr,Python
78,ml-duet,Python
79,ml-entity-deduction-arena,Python
80,ml-entropy-reconstruction,Python
81,ml-envmapnet,Python
82,ml-equivariant-neural-rendering,Jupyter Notebook
83,ml-facelit,Python
84,ml-famae,Python
85,ml-fastvit,Python
86,ml-fct,Python
87,ml-ferret,Python
88,ml-finerecon,Python
89,ml-flair,Jupyter Notebook
90,ml-gaudi,
91,ml-gmpi,Python
92,ml-gsn,Python
93,ml-hd-gist,Python
94,ml-heart-rate-models,Python
95,ml-hierarchical-confusion-matrix,TypeScript
96,ml-hugs,Python
97,ml-hypersim,Python
98,ml-interspeech2022-phi_rtn,
99,ml-jointnet,Python
100,ml-keyframer,JavaScript
101,ml-kge,Python
102,ml-knowledge-conflicts,Python
103,ml-live-pose,
104,ml-llarp,Python
105,ml-lucid-datagen,Python
106,ml-mgie,Python
107,ml-mkqa,Python
108,ml-mobileclip,Python
109,ml-mobileone,Swift
110,ml-mofi,Python
111,ml-multiple-futures-prediction,Python
112,ml-ncg,Python
113,ml-neilf,Python
114,ml-neilfpp,Python
115,ml-neuman,Python
116,ml-no-token-left-behind,Jupyter Notebook
117,ml-np-rasp,Python
118,ml-nvas3d,Python
119,ml-ogen,Python
120,ml-pgdvs,Python
121,ml-planner,Python
122,ml-pointconvformer,Python
123,ml-pointersect,Python
124,ml-probabilistic-attention,Python
125,ml-projunit,Python
126,ml-qrecc,Python
127,ml-quant,Python
128,ml-recurrent-drafter,Python
129,ml-reed,Python
130,ml-rlgrad,Python
131,ml-robust-expert-augmentations,Python
132,ml-rpm-bench,Python
133,ml-sad,Python
134,ml-selfcond,Python
135,ml-shuffling-amplification,Python
136,ml-sigma-reparam,Python
137,ml-spatial-librispeech,
138,ml-spin,Python
139,ml-stable-diffusion,Python
140,ml-stabledreamer,
141,ml-stuttering-events-dataset,Python
142,ml-superposition-prompting,Python
143,ml-symphony,Svelte
144,ml-tic-clip,Python
145,ml-tract,Python
146,ml-transcript-translation-consistency-ratings,
147,ml-translate-vis,TypeScript
148,ml-tree-dst,Python
149,ml-tune-mode-convbn,Python
150,ml-tweak,Python
151,ml-upscale,Jupyter Notebook
152,ml-uwac,Python
153,ml-veclip,Jupyter Notebook
154,ml-vfi-smiff,Python
155,ml-vfm-kt,
156,ml-vision-transformers-ane,Python
157,music-feed-examples,Java
158,openjdk,Java
159,password-manager-resources,JavaScript
160,pfl-research,Jupyter Notebook
161,pkl,Java
162,pkl-evolution,
163,pkl-go,Go
164,pkl-go-examples,Go
165,pkl-intellij,Kotlin
166,pkl-jvm-examples,Groovy
167,pkl-k8s,Pkl
168,pkl-k8s-examples,
169,pkl-lang.org,JavaScript
170,pkl-lsp,Pkl
171,pkl-neovim,Scheme
172,pkl-package-docs,Kotlin
173,pkl-pantry,Pkl
174,pkl-project-commons,
175,pkl-spring,Java
176,pkl-swift,Swift
177,pkl-swift-examples,Swift
178,pkl-vscode,TypeScript
179,pkl.tmbundle,
180,pytorch-speech-features,Python
181,rules_pkl,Starlark
182,sample-backyard-birds,Swift
183,sample-cloudkit-coredatasync,Swift
184,sample-cloudkit-encryption,Swift
185,sample-cloudkit-privatedb,Swift
186,sample-cloudkit-privatedb-sync,Swift
187,sample-cloudkit-queries,Swift
188,sample-cloudkit-sharing,Swift
189,sample-cloudkit-sync-engine,Swift
190,sample-cloudkit-tooling,JavaScript
191,sample-cloudkit-zonesharing,Swift
192,sample-food-truck,Swift
193,servicetalk,Java
194,swift-3-api-guidelines-review,Swift
195,swift-algorithms,Swift
196,swift-aoc-starter-example,Swift
197,swift-argument-parser,Swift
198,swift-asn1,Swift
199,swift-async-algorithms,Swift
200,swift-async-dns-resolver,Swift
201,swift-atomics,Swift
202,swift-cassandra-client,Swift
203,swift-certificates,Swift
204,swift-clang,C++
205,swift-clang-tools-extra,C++
206,swift-cluster-membership,Swift
207,swift-cmake-examples,CMake
208,swift-collections,Swift
209,swift-collections-benchmark,Swift
210,swift-compiler-rt,C
211,swift-corelibs-foundation,C
212,swift-corelibs-libdispatch,C
213,swift-corelibs-xctest,Swift
214,swift-crypto,C
215,swift-distributed-actors,Swift
216,swift-distributed-tracing,Swift
217,swift-distributed-tracing-baggage-core,Swift
218,swift-distributed-tracing-extras,Swift
219,swift-embedded-examples,Swift
220,swift-evolution-staging,Swift
221,swift-for-wasm-examples,Swift
222,swift-foundation,Swift
223,swift-foundation-icu,C
224,swift-getting-started-cli,Swift
225,swift-getting-started-package-library,Swift
226,swift-homomorphic-encryption,Swift
227,swift-homomorphic-encryption-protobuf,
228,swift-http-structured-headers,Swift
229,swift-http-types,Swift
230,swift-internals,HTML
231,swift-issues,
232,swift-libcxx,C++
233,swift-llbuild2,Swift
234,swift-lldb,C++
235,swift-llvm,LLVM
236,swift-log,Swift
237,swift-matter-examples,Swift
238,swift-metrics,Swift
239,swift-metrics-extras,Swift
240,swift-migration-guide,Markdown
241,swift-mmio,Swift
242,swift-nio,Swift
243,swift-nio-examples,Swift
244,swift-nio-extras,Swift
245,swift-nio-http2,Swift
246,swift-nio-imap,Swift
247,swift-nio-nghttp2-support,Swift
248,swift-nio-ssh,Swift
249,swift-nio-ssl,C
250,swift-nio-ssl-support,Swift
251,swift-nio-transport-services,Swift
252,swift-nio-zlib-support,Swift
253,swift-numerics,Swift
254,swift-openapi-generator,Swift
255,swift-openapi-runtime,Swift
256,swift-openapi-urlsession,Swift
257,swift-playdate-examples,Swift
258,swift-protobuf,Swift
259,swift-protobuf-plugin,
260,swift-protobuf-test-conformance,
261,swift-sample-distributed-actors-transport,Swift
262,swift-service-context,Swift
263,swift-service-discovery,Swift
264,swift-standard-library-preview,Swift
265,swift-statsd-client,Swift
266,swift-string-processing-benchmarks,Swift
267,swift-system,Swift
268,swift-testing,Swift
269,swift-tools-support-async,Swift
